169.254.150.167, 2015-07-31 15:32:01, GET, /admin/static/_2.11.2/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.016637
169.254.150.167, 2015-07-31 15:32:01, GET, /admin/static/_2.11.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.005984
169.254.150.167, 2015-07-31 15:32:01, GET, /admin/static/_2.11.2/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.006118
169.254.150.167, 2015-07-31 15:32:01, GET, /admin/static/_2.11.2/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.016442
169.254.150.167, 2015-07-31 15:32:01, GET, /admin/static/_2.11.2/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.006471
169.254.150.167, 2015-07-31 15:32:01, GET, /admin/static/_2.11.2/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.006121
169.254.150.167, 2015-07-31 15:32:01, GET, /admin/static/_2.11.2/js/ajax_editor.js, HTTP/1.1, 200, 0.011126
169.254.150.167, 2015-07-31 15:32:01, GET, /admin/static/_2.11.2/js/web2py.js, HTTP/1.1, 200, 0.011751
169.254.150.167, 2015-07-31 15:32:02, GET, /admin/static/_2.11.2/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.005996
169.254.150.167, 2015-07-31 15:32:02, GET, /admin/static/_2.11.2/images/files_toggle.png, HTTP/1.1, 200, 0.016726
169.254.150.167, 2015-07-31 15:32:03, GET, /admin/default/edit/myapp/modules/temp_humi_co2.py, HTTP/1.1, 200, 1.014966
169.254.150.167, 2015-07-31 15:32:04, GET, /favicon.ico, HTTP/1.1, 400, 0.024535
169.254.150.167, 2015-07-31 15:32:05, GET, /admin/static/_2.11.2/images/save_icon.png, HTTP/1.1, 200, 0.030580
169.254.150.167, 2015-07-31 15:32:05, GET, /admin/default/files_menu, HTTP/1.1, 200, 2.312774
